#Rodadas em cada Jogo
#NRounds Game 
29454 1
28004 2
1482 3
3494 4
2838 5
11404 6
6298 7
25014 8
4412 9
7394 10
5804 11
1938 12
2996 13
7282 14
10312 15
10858 16
1748 17
5780 18
10248 19
2304 20
3318 21
5320 22
3940 23
36780 24
26190 25
2292 26
11922 27
10324 28
2658 29
5286 30
5058 31
2244 32
31962 33
12704 34
5466 35
11914 36
4072 37
10050 38
30686 39
8054 40
2554 41
19456 42
6778 43
3782 44
6820 45
7684 46
18360 47
7634 48
1850 49
12226 50
16808 51
5414 52
8002 53
47746 54
12796 55
2066 56
5378 57
45940 58
6208 59
6424 60
28340 61
5810 62
7098 63
6724 64
3632 65
11708 66
9508 67
1026 68
9206 69
17276 70
5218 71
6586 72
11314 73
5044 74
13538 75
11148 76
6328 77
8094 78
7026 79
5894 80
6782 81
4222 82
21828 83
5332 84
2926 85
5860 86
2436 87
14388 88
2136 89
3972 90
5950 91
21204 92
3892 93
16874 94
5890 95
32210 96
12196 97
6804 98
19576 99
22204 100
